ticker,pe_trailing,pe_forward,pb,ev_ebitda,ps,roe,roa,net_margin,operating_margin,gross_margin,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,earnings_growth_q,market_cap,enterprise_value,book_value,dividend_yield,payout_ratio,beta_reported,sector,industry,last_earnings_date,snapshot_date
BAYERCROP,27.600052,21.933989,6.416788,21.568,3.3533533,0.237,0.089090005,0.12144,0.15053001,0.40222,2.758,1.916,1.011,0.051,0.131,0.131,190302797824.0,176400793600.0,659.894,3.55,0.8151,0.227,Basic Materials,Agricultural Inputs,2026-08-05,2026-08-01
BELRISE,40.675255,24.892195,3.855349,18.053,2.4077337,0.12516,0.06282,0.052249998,0.077800006,0.19236,29.1,1.973,1.063,0.121,-0.094,0.184,228953866240.0,208286138368.0,61.403,0.23,0.0945,,Consumer Cyclical,Auto Parts,,2026-08-01
BERGEPAINT,53.98859,41.075954,8.774341,34.404,5.1080256,0.17226,0.09571,0.094849996,0.14251,0.41035,9.165,2.115,1.136,0.061,0.276,0.278,606846189568.0,600535465984.0,59.315,0.77,0.3934,0.417,Basic Materials,Specialty Chemicals,2026-08-05,2026-08-01
BDL,108.6817,40.30016,10.822832,184.406,18.811573,0.1019,0.00709,0.17214,0.073709995,0.49935,0.007,2.01,0.825,-0.73,-0.584,-0.585,459339464704.0,411901886464.0,115.783,0.41,0.449,0.219,Industrials,Aerospace & Defense,2026-05-28,2026-08-01
BEL,46.062946,34.228592,11.818569,33.587,9.872421,,,0.21403,0.22135,0.47842997,0.273,,,0.249,0.083,0.087,2835097845760.0,2750228463616.0,32.817,1.12,0.3393,0.248,Industrials,Aerospace & Defense,2026-07-27,2026-08-01
BHARATFORG,97.07855,44.947918,10.978251,38.931,6.2557764,0.11603,0.05748,0.06422,0.11366,0.53443,76.475,1.169,0.673,0.175,-0.18,-0.175,1051699445760.0,1100700450816.0,200.378,0.39,0.3543,0.527,Consumer Cyclical,Auto Parts,2026-05-07,2026-08-01
BHEL,58.142857,29.578487,5.4202347,48.458,3.9374325,,,0.06758,0.054819997,0.31469,31.312,,,0.403,,,1417199747072.0,1387052793856.0,75.089,0.34,0.0715,0.853,Industrials,Specialty Industrial Machinery,2026-07-16,2026-08-01
BPCL,7.973816,7.998187,1.3642783,5.816,0.2765764,,,0.034679998,-0.04048,0.12755,54.332,,,0.344,,,1366158999552.0,1709671841792.0,234.373,6.25,0.5611,0.891,Energy,Oil & Gas Refining & Marketing,2026-07-22,2026-08-01
BHARTIARTL,44.444447,24.096031,8.056213,12.927,5.831384,0.19358999,0.07883,0.12652999,0.32766,0.67652,99.718,0.517,0.282,0.157,-0.34,-0.335,12302633926656.0,14124265242624.0,244.78,1.22,0.36060002,0.016,Communication Services,Telecom Services,2026-08-04,2026-08-01
BHARTIHEXA,46.29896,25.313387,11.217412,18.701,8.592765,0.26466998,0.092209995,0.18529,0.29179,0.5974,85.654,0.376,0.185,0.054,-0.047,-0.046,803750019072.0,858480967680.0,143.304,1.12,0.2885,0.132,Communication Services,Telecom Services,,2026-08-01
BIKAJI,62.296116,43.622684,10.011546,40.487,5.373826,0.15961,0.098409995,0.086260006,0.10611,0.34632,17.531,2.467,1.381,0.185,0.263,0.269,160885014528.0,162459205632.0,64.091,0.19,0.0971,0.23,Consumer Defensive,Packaged Foods,,2026-08-01
GROWW,49.207592,30.454967,12.450038,,22.372234,,,0.45354,0.64422995,1.0,3.028,,,0.652,0.857,0.943,1203456835584.0,1120119816192.0,15.612,,0.0,,Financial Services,Capital Markets,,2026-08-01
BIOCON,151.49467,36.491627,2.0258214,23.532,,0.011469999,0.0173,0.022780001,0.15556,0.60651,42.145,1.221,0.713,0.023,-0.725,-0.635,,830831263744.0,210.137,0.12,0.17729999,0.319,Healthcare,Biotechnology,2026-08-06,2026-08-01
BSOFT,14.816266,12.477393,2.054976,6.92,1.5643547,,,0.10601,0.14749,0.39511,3.422,,,0.074,0.508,0.513,84544864256.0,61502672896.0,147.155,2.15,0.3183,0.381,Technology,Information Technology Services,2026-07-28,2026-08-01
BLUEDART,43.87637,29.966898,6.890285,,1.993904,0.14832,0.06651,0.040289998,0.13491,0.24914,,1.036,0.928,0.08,1.891,1.891,122443251712.0,,748.924,0.48,0.2067,0.268,Industrials,Integrated Freight & Logistics,,2026-08-01
BLUEJET,43.885773,32.722908,7.9867616,35.797,11.4673605,0.19881001,0.11038,0.2616,0.27618998,0.53995,3.102,4.208,3.142,-0.311,-0.415,-0.416,108632719360.0,105279176704.0,78.411,0.2,0.084,0.773,Healthcare,Biotechnology,,2026-08-01
BLUESTARCO,65.36547,40.21216,10.072916,39.871,2.786991,0.16222,0.05525,0.04255,0.06643,0.22362,23.588,1.313,0.791,0.013,0.171,0.173,345642336256.0,345433112576.0,166.903,0.51,0.3509,0.154,Industrials,Building Products & Equipment,2026-08-06,2026-08-01
BBTC,8.403593,4.0083,1.4833258,3.257,0.52652985,0.28709,0.15559,0.06264,0.16669,0.42421,16.57,1.189,0.804,0.075,0.438,0.438,104455512064.0,121545211904.0,1009.286,2.27,0.1179,0.613,Consumer Defensive,Packaged Foods,,2026-08-01
BOSCHLTD,43.752594,39.89513,8.162546,43.736,,0.19353001,0.06734,0.14001,0.12470999,0.34568,0.8,1.959,1.404,0.132,0.03,0.03,,1149775249408.0,5033.356,0.65,0.5445,0.635,Consumer Cyclical,Auto Parts,2026-08-10,2026-08-01
FIRSTCRY,,48.863922,2.1155972,154.308,1.2052296,-0.0383,-0.01012,-0.0164,-0.01574,0.26929,29.762,2.143,0.832,0.12,,,103022354432.0,109314916352.0,100.331,,0.0,,Consumer Cyclical,Internet Retail,,2026-08-01
BRIGADE,29.421907,15.929989,27.74351,134.929,3.3216095,0.10786,0.029089998,0.11311,0.20204,0.49528998,84.316,1.241,0.26,-0.002,-0.423,-0.411,189239410688.0,1935299444736.0,20.913,0.35,0.0949,0.127,Real Estate,Real Estate - Development,2026-05-06,2026-08-01
BRITANNIA,51.600456,41.8239,25.548805,36.768,6.83402,0.53314,0.21594,0.13271,0.16489,0.41132998,26.875,1.119,0.708,0.065,0.211,0.211,1304663031808.0,1300173946880.0,212.006,1.64,0.71309996,0.468,Consumer Defensive,Packaged Foods,2026-08-06,2026-08-01
MAPMYINDIA,48.40844,29.3529,7.150508,37.556,13.648682,0.15619999,0.09177,0.28298,0.39271998,0.67503,0.778,4.916,4.66,0.01,0.045,0.045,64708403200.0,61456601088.0,165.254,0.3,0.14310001,0.138,Technology,Software - Infrastructure,,2026-08-01
CCL,35.5915,24.331419,6.562415,21.026,3.3403952,,,0.0938,0.13101,0.35567,56.487,,,0.138,0.61,0.613,154037469184.0,165031329792.0,176.048,0.5,0.239,-0.068,Consumer Defensive,Packaged Foods,,2026-08-01
CESC,14.24871,11.55351,1.7525457,10.671,1.1818777,0.12547,0.03418,0.08304,0.123050004,0.38287997,164.311,0.921,0.766,0.056,0.178,0.177,219474706432.0,386182840320.0,94.474,3.62,0.5159,0.332,Utilities,Utilities - Regulated Electric,2026-05-06,2026-08-01
CGPOWER,108.740555,61.99696,17.060207,84.152,10.608269,,,0.0975,0.104490004,0.30722,1.446,,,0.14,0.131,0.163,1360055369728.0,1333411053568.0,50.609,0.15,0.16389999,0.407,Industrials,Electrical Equipment & Parts,2026-07-24,2026-08-01
CIEINDIA,17.298899,14.336843,2.00195,17.204,2.334492,,,0.05728,0.11165,0.53404,6.63,,,0.106,0.159,0.158,155007467520.0,150707470336.0,204.101,1.71,0.2962,,Consumer Cyclical,Auto Parts,,2026-08-01
CRISIL,36.106003,29.562986,9.745945,26.705,7.727655,0.29052,0.14866,0.21434,0.24679,0.47004002,10.23,1.868,1.402,0.276,0.262,0.262,318832214016.0,313008586752.0,447.345,0.91,0.5127,0.133,Financial Services,Financial Data & Stock Exchanges,,2026-08-01
CANFINHOME,9.675746,8.64511,1.8270715,,6.4545197,,,0.66733,0.79907995,0.98933,636.585,,,0.225,0.196,0.196,109266657280.0,489956179968.0,449.134,1.96,0.2475,0.386,Financial Services,Mortgage Finance,,2026-08-01
CANBK,5.7068496,5.364667,0.96313304,,2.4618914,,,0.43126,0.44137,0.0,,,,-0.129,0.622,0.622,1133649985536.0,1131576033280.0,129.764,3.36,0.1918,0.492,Financial Services,Banks - Regional,2026-07-27,2026-08-01
CANHLIFE,106.123184,77.07895,8.408934,,1.1137326,0.08276,0.0019,0.01054,0.00714,0.12675,15.304,1.028,0.214,0.204,0.217,0.202,138759159808.0,137563602944.0,17.416,0.27,0.0,,Financial Services,Insurance - Life,,2026-08-01
CAPLIPOINT,29.94052,23.532494,5.447336,23.982,8.746667,0.19939,0.11858,0.29318002,0.30898002,0.6042,0.127,6.7,4.94,0.19,0.194,0.193,191306235904.0,182469738496.0,462.024,0.32,0.0713,0.193,Healthcare,Drug Manufacturers - Specialty & Generic,,2026-08-01
CGCL,19.793867,12.009302,3.1100938,,6.931489,,,0.34958,0.50395,0.94764,334.728,,,0.858,0.794,1.02,223585353728.0,442764689408.0,74.718,0.09,0.017,-0.03,Financial Services,Credit Services,,2026-08-01
CARBORUNIV,103.081406,35.599552,5.1962895,35.808,3.892338,0.043670002,0.04225,0.0374,0.059520002,0.57417,10.292,2.668,1.51,0.149,,,202646994944.0,200856240128.0,204.723,0.38,0.38830003,0.289,Industrials,Conglomerates,2026-08-07,2026-08-01
CARTRADE,58.68796,35.401028,5.2408853,43.997,16.278221,,,0.28656,0.25952,0.60944,5.363,,,0.163,0.224,0.195,131428851712.0,123671863296.0,518.92,,0.0,0.001,Consumer Cyclical,Auto & Truck Dealerships,,2026-08-01
CASTROLIND,19.133265,16.685585,9.640329,12.626,3.131352,,,0.16386,0.19521,0.48631,3.305,,,0.087,0.038,0.037,183195353088.0,171880857600.0,19.212,4.73,0.90300006,0.319,Energy,Oil & Gas Refining & Marketing,2026-08-04,2026-08-01
CEATLTD,23.46354,14.43358,2.3581023,7.816,0.8425321,,,0.03583,0.04145,0.38511002,64.742,,,0.223,-0.962,-0.964,138739761152.0,160588660736.0,1454.517,1.01,0.2054,0.451,Consumer Cyclical,Auto Parts,,2026-08-01
CEMPRO,39.024254,23.394526,9.792102,22.764,2.302487,,,0.058920003,0.08524,0.26770002,37.711,,,0.07,0.026,0.026,234971070464.0,237682360320.0,139.684,0.22,0.1429,0.815,Industrials,Engineering & Construction,,2026-08-01
CENTRALBK,6.144841,,0.68440473,,1.7095212,0.115600005,0.00878,0.27839002,0.39668998,0.0,,,,-0.029,0.028,0.032,280321884160.0,388624842752.0,45.251,4.48,0.23809999,0.402,Financial Services,Banks - Regional,,2026-08-01
CDSL,60.978954,43.85519,14.215786,41.665,22.551949,0.23913,0.16639,0.36923,0.3809,1.0,0.11,2.917,2.464,0.042,-0.199,-0.2,278597009408.0,270951989248.0,93.769,0.96,0.5729,0.213,Financial Services,Capital Markets,,2026-08-01
CHALET,33.598347,25.82522,4.801638,18.507,,,,0.2212,0.33731,0.69152,64.041,,,-0.427,-0.577,-0.576,,198305218560.0,168.984,0.25,0.041500002,-0.058,Consumer Cyclical,Lodging,,2026-08-01
CHAMBLFERT,9.115264,8.82211,1.6873825,,0.8745661,,,0.09589,0.15603,0.37465,10.274,,,-0.113,-0.046,-0.046,175846293504.0,,260.107,2.69,0.2078,,Basic Materials,Agricultural Inputs,2026-07-30,2026-08-01
CHENNPETRO,4.4963617,3.1436408,1.689801,3.121,0.24635805,,,0.054780003,0.051149998,0.1165,17.68,,,0.848,,,187717697536.0,193935622144.0,746.005,4.92,0.0464,0.151,Energy,Oil & Gas Refining & Marketing,,2026-08-01
CHOICEIN,73.08614,54.753826,9.735021,,17.370821,0.16240999,0.07692,0.20622998,0.30106002,0.62743,49.768,1.967,1.507,0.218,0.153,0.127,183333912576.0,167891501056.0,84.535,,0.0,-0.374,Financial Services,Capital Markets,,2026-08-01
CHOLAHLDNG,11.797909,8.03246,1.8641487,,1.357419,0.18035,0.022249999,0.115030006,0.35366002,0.75021005,623.156,2.288,2.224,0.168,0.12,0.12,288088162304.0,2481834688512.0,823.003,0.09,0.01,0.389,Financial Services,Credit Services,2026-08-14,2026-08-01
CHOLAFIN,27.320929,18.841253,5.1748786,,11.138991,,,0.40549,0.56586,0.99932,695.283,,,0.346,0.437,0.456,1579838734336.0,3593746513920.0,357.477,0.08,0.0296,0.524,Financial Services,Credit Services,2026-07-28,2026-08-01
CIPLA,35.33701,23.23958,3.4561634,21.164,4.24015,,,0.12009,0.12549,0.6328,1.778,,,0.035,-0.392,-0.392,1190117638144.0,1096864038912.0,426.253,0.88,0.3118,0.113,Healthcare,Drug Manufacturers - Specialty & Generic,2026-07-23,2026-08-01
CUB,14.59364,10.66986,1.9364761,,5.51146,,,0.37791002,0.50985,0.0,,,,0.233,0.252,0.251,204597575680.0,221372383232.0,106.637,0.97,0.10609999,0.379,Financial Services,Banks - Regional,2026-07-28,2026-08-01
CLEAN,34.015293,22.479979,4.9284616,20.933,8.156075,0.15309,0.102290004,0.24009001,0.30067,0.62653,0.135,5.011,3.521,-0.055,-0.214,-0.214,78016684032.0,74323476480.0,148.941,0.82,0.2778,0.237,Basic Materials,Specialty Chemicals,2026-08-01,2026-08-01
COALINDIA,8.189638,7.3097816,2.1427462,5.231,1.4861739,,,0.18138,0.21113001,0.74757004,11.629,,,0.451,0.012,0.014,2552294014976.0,2145128808448.0,193.28,5.07,0.5223,-0.037,Energy,Thermal Coal,2026-07-27,2026-08-01
COCHINSHIP,52.316174,32.19457,6.374277,45.232,7.454673,0.12517,0.0305,0.14272,0.18714,0.34959,28.466,1.331,0.354,-0.156,-0.038,-0.037,374363947008.0,367003795456.0,223.241,0.93,0.35790002,0.563,Industrials,Aerospace & Defense,,2026-08-01
COFORGE,35.208675,23.995975,6.0606484,20.042,4.180132,,,0.0964,0.1596,0.37247002,7.518,,,0.499,0.309,0.634,761870876672.0,720982310912.0,283.963,0.93,0.2459,0.23,Technology,Information Technology Services,2026-07-27,2026-08-01
COHANCE,90.82265,41.605976,4.165768,38.621,7.1685877,0.03836,0.026719999,0.07901,0.07664,0.70791,9.928,2.83,1.562,-0.263,-0.89,-0.838,162622996480.0,164906336256.0,102.034,,0.0,0.555,Healthcare,Drug Manufacturers - Specialty & Generic,,2026-08-01
COLPAL,41.66366,35.11793,35.6461,29.301,9.101288,,,0.21722999,0.27678,0.68931997,2.993,,,0.118,0.07,0.07,564669382656.0,550883098624.0,58.242,2.31,0.96870005,0.512,Consumer Defensive,Household & Personal Products,2026-07-29,2026-08-01
CAMS,41.661434,30.6055,14.946684,29.956,13.037575,0.38694,0.21461001,0.31394,0.39255002,0.65629995,4.863,3.426,2.838,0.11,0.107,0.109,197682102272.0,189553164288.0,53.266,1.57,0.643,0.133,Technology,Information Technology Services,2026-08-03,2026-08-01
CONCORDBIO,49.026917,34.61489,7.3690658,38.294,14.090437,0.13543999,0.089099996,0.24733,0.33839,0.64136004,0.115,7.394,5.336,-0.241,-0.37,-0.368,148638711808.0,144323805184.0,192.806,0.53,0.3686,0.421,Healthcare,Biotechnology,,2026-08-01
CONCOR,32.08181,21.877602,3.0924134,18.488,4.4053473,,,0.13670999,0.13638,0.39472,7.39,,,0.003,0.006,0.001,400230219776.0,372960165888.0,169.932,1.22,0.46400002,0.287,Industrials,Railroads,2026-07-24,2026-08-01
COROMANDEL,33.332264,21.458435,4.8628,18.572,1.8730999,,,0.05619,0.067719996,0.23989001,11.469,,,0.159,-0.245,-0.246,610668249088.0,608535379968.0,426.421,0.53,0.24149999,0.125,Basic Materials,Agricultural Inputs,2026-07-23,2026-08-01
CRAFTSMAN,50.91795,28.388035,7.2161098,20.269,2.9624896,,,0.053340003,0.10836001,0.42793,111.011,,,0.363,1.133,1.163,258235777024.0,270191198208.0,1368.258,0.11,0.025799999,0.268,Consumer Cyclical,Auto Parts,,2026-08-01
CREDITACC,21.133078,12.315354,3.2536602,,8.389648,0.16364999,,0.39812002,0.64591,0.97994006,302.872,,,1.495,7.152,7.197,255160254464.0,471242113024.0,489.541,,0.0,0.184,Financial Services,Credit Services,,2026-08-01
CROMPTON,,22.594574,5.648295,21.433,2.069622,-0.06337,0.06593,-0.02991,0.099,0.31781,5.797,1.426,0.989,0.108,,,167546667008.0,162739748864.0,46.067,1.15,0.41900003,0.269,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-08-06,2026-08-01
CUMMINSIND,64.93705,46.39992,18.051167,54.004,12.598557,0.29455,0.15034,0.19449,0.13435,0.36382,0.431,3.324,2.763,0.219,0.227,0.227,1529866747904.0,1491161186304.0,305.742,1.2,0.6279,0.572,Industrials,Specialty Industrial Machinery,2026-08-05,2026-08-01
CYIENT,24.873825,11.988482,1.6482086,10.279,1.1561364,,,0.04955,0.09014,0.29849002,7.528,,,0.213,-0.324,-0.323,88237481984.0,86424518656.0,514.316,3.77,0.4699,0.513,Industrials,Conglomerates,2026-07-23,2026-08-01
DCMSHRIRAM,11.014169,24.128357,2.1429133,12.218,1.1567835,,,0.103520006,0.05841,0.33099997,37.802,,,0.093,5.11,5.11,160104398848.0,185754451968.0,482.474,1.41,0.1154,-0.371,Industrials,Conglomerates,,2026-08-01
DLF,37.039326,25.506,3.5888476,106.97,19.91664,0.10031,0.0114,0.53876996,0.20594999,0.40828,0.673,1.542,0.435,-0.42,-0.012,-0.011,1631972884480.0,1539171418112.0,183.708,1.21,0.33650002,0.297,Real Estate,Real Estate - Development,2026-08-03,2026-08-01
DOMS,59.66209,41.12966,11.243166,34.465,5.8957057,0.20091999,0.12165,0.09894,0.12871,0.43635,10.849,2.175,0.767,0.187,0.168,0.171,137155641344.0,138754801664.0,201.011,0.14,0.0834,-0.325,Industrials,Business Equipment & Supplies,,2026-08-01
DABUR,37.90018,32.001804,6.5459824,28.586,5.516612,,,0.14551,0.16476,0.47741002,10.907,,,0.106,0.153,0.15,747632263168.0,712748630016.0,64.383,1.94,0.7207,0.396,Consumer Defensive,Household & Personal Products,2026-07-29,2026-08-01
DALBHARAT,36.080593,24.600636,1.8775369,12.619,2.2436943,,,0.062030002,0.11414,0.61489,40.987,,,0.07,-0.521,-0.522,337855512576.0,360072445952.0,958.543,0.56,0.18040001,0.138,Basic Materials,Building Materials,2026-07-24,2026-08-01
DATAPATTNS,89.2805,53.744274,13.805981,63.232,25.91643,0.1673,0.11644,0.29345,0.54212004,0.62044996,0.304,10.454,8.262,-0.13,0.212,0.213,239667363840.0,235493572608.0,310.083,0.22,0.16510001,0.52,Industrials,Aerospace & Defense,,2026-08-01
DEEPAKFERT,19.907694,14.291762,2.86439,14.986,1.7053674,0.10771,0.053150002,0.06408,0.0825,0.30469,75.969,1.363,0.679,0.129,-0.497,-0.497,196220092416.0,252328263680.0,542.105,0.65,0.1283,0.024,Basic Materials,Chemicals,,2026-08-01
DEEPAKNTR,41.102867,27.375092,3.8841712,24.196,2.874483,0.09751,0.05888,0.0698,0.15555,0.23104,27.903,2.4,1.583,-0.027,0.085,0.086,226712502272.0,238793211904.0,427.942,0.46,0.1858,0.409,Basic Materials,Chemicals,2026-08-04,2026-08-01
DELHIVERY,243.40909,41.902214,3.7133348,118.801,3.435443,0.01596,-0.00279,0.014529999,0.01086,0.84731,15.098,2.588,1.744,0.3,-0.006,-0.002,361006891008.0,354509389824.0,129.789,,0.0,0.181,Industrials,Integrated Freight & Logistics,2026-05-16,2026-08-01
DEVYANI,,111.273544,9.130748,29.127,2.412621,,,-0.0047400002,0.04709,0.50776,203.327,,,0.165,3.0,2.972,140777062400.0,177593384960.0,12.505,,0.0,0.324,Consumer Cyclical,Restaurants,2026-07-29,2026-08-01
DIVISLAB,83.33506,57.119984,12.759473,61.267,20.252033,0.16187,0.1007,0.24318,0.28753,0.59063,0.042,5.431,3.272,0.095,0.136,0.134,2138614792192.0,2106354827264.0,631.374,0.37,0.3101,0.222,Healthcare,Drug Manufacturers - Specialty & Generic,2026-08-01,2026-08-01
DIXON,41.152348,51.51062,15.649559,39.459,1.7478143,0.37133,0.051269997,0.02944,0.028870001,0.07357,18.457,1.064,0.612,0.021,-0.361,-0.36,854205792256.0,736506609664.0,897.725,0.06,0.0297,-0.101,Technology,Consumer Electronics,2026-07-31,2026-08-01
LALPATHLAB,58.948017,43.974346,12.683745,38.882,11.004734,,,0.18745,0.25461,0.60204,7.83,,,0.191,0.278,0.28,318126063616.0,307139936256.0,150.208,1.06,0.4321,0.194,Healthcare,Diagnostics & Research,2026-07-24,2026-08-01
DRREDDY,28.904833,19.283007,2.4942102,17.38,2.8877046,0.088369995,0.040149998,0.09996,0.04251,0.50176,18.605,1.902,1.161,-0.056,-0.687,-0.687,956367372288.0,950181101568.0,460.306,0.7,0.2014,0.259,Healthcare,Drug Manufacturers - Specialty & Generic,2026-07-22,2026-08-01
EIDPARRY,23.82602,9.037456,1.5377067,5.868,0.3510016,0.099130005,0.06261,0.014780001,0.04902,0.22483,23.647,1.419,0.6,0.156,,,135255228416.0,198521192448.0,494.275,,0.0,0.018,Basic Materials,Agricultural Inputs,,2026-08-01
EIHOTEL,32.50497,22.336065,3.8860564,18.515,6.835993,0.12948,0.095819995,0.21003,0.38539,0.65783995,4.666,2.686,2.307,0.074,-0.058,-0.061,204494077952.0,197967953920.0,84.147,0.45,0.14930001,-0.263,Consumer Cyclical,Lodging,,2026-08-01
EICHERMOT,37.31304,28.837748,8.561062,36.288,8.647268,,,0.23211999,0.19798,0.42308998,2.048,,,0.315,0.213,0.213,2150465667072.0,2093197557760.0,915.015,1.05,0.33310002,0.275,Consumer Cyclical,Auto Manufacturers,2026-07-29,2026-08-01
ELECON,39.83365,17.831915,4.0781074,19.862,3.9245918,,,0.09852,0.15245,0.41751,11.824,,,0.061,-0.598,-0.599,94034788352.0,88360894464.0,102.756,0.48,0.1901,0.489,Industrials,Specialty Industrial Machinery,,2026-08-01
ELGIEQUIP,41.88603,31.242237,8.045904,31.869,4.5454555,0.20998,0.094519995,0.10889,0.13841,0.50219,23.885,2.082,1.367,0.121,0.253,0.254,179577307136.0,176043311104.0,70.8,0.47,0.1616,0.044,Industrials,Specialty Industrial Machinery,2026-08-13,2026-08-01
EMAMILTD,22.425352,18.77705,5.942552,17.616,4.5971255,0.2761,0.13336,0.20512,0.15615,0.6989,5.541,2.308,1.461,-0.039,-0.118,-0.117,173748813824.0,166545129472.0,66.983,3.01,0.6757,0.157,Consumer Defensive,Household & Personal Products,2026-08-04,2026-08-01
EMCURE,40.223682,25.956343,7.5063953,21.557,4.039664,0.19573,0.09621,0.100439996,0.15354,0.60265,30.567,1.434,0.71,0.167,0.288,0.288,371792052224.0,385572306944.0,261.124,0.16,0.0615,-0.022,Healthcare,Drug Manufacturers - Specialty & Generic,,2026-08-01
EMMVEE,17.270256,11.2350645,5.948345,11.402,3.9423761,,,0.22844,0.29843,0.44522998,9.745,,,0.513,0.737,1.026,219888779264.0,219761688576.0,53.393,,0.0,,Technology,Solar,,2026-08-01
ENDURANCE,40.81533,27.524773,5.6716986,19.8,2.6582184,0.15156999,0.07412,0.0652,0.087110005,0.42328,19.393,1.553,1.171,0.379,0.127,0.128,387990355968.0,382363238400.0,486.327,0.42,0.1478,0.679,Consumer Cyclical,Auto Parts,,2026-08-01
ENGINERSIN,18.079676,14.440261,3.98352,15.955,3.1818035,0.23786,0.07344,0.17606,0.15223,0.26802,0.534,1.299,0.72,-0.083,-0.303,-0.301,124986982400.0,111005163520.0,55.825,1.35,0.3659,0.903,Industrials,Engineering & Construction,,2026-08-01
ERIS,28.472046,23.665833,4.745291,18.587,5.844264,,,0.20045,0.25792998,0.73533,60.545,,,0.126,0.188,0.207,187738800128.0,210484871168.0,285.483,1.06,0.1538,-0.11,Healthcare,Drug Manufacturers - Specialty & Generic,,2026-08-01
ESCORTS,24.875061,21.460022,2.790427,19.391,2.9422607,0.120220006,0.05386,0.20746,0.10627,0.29684,1.309,3.254,2.567,0.214,0.006,0.007,339544539136.0,279541252096.0,1105.924,1.07,0.145,0.323,Industrials,Farm & Heavy Construction Machinery,2026-08-03,2026-08-01
ETERNAL,672.11115,79.01653,8.940555,159.047,4.1303277,,,0.00642,0.0023700001,0.35189,14.826,,,1.82,2.333,2.68,2784171393024.0,2762250125312.0,33.829,,0.0,0.254,Consumer Cyclical,Internet Retail,2026-07-22,2026-08-01
EXIDEIND,40.70588,26.232882,2.749624,19.985,2.0305798,,,0.04948,0.08672,0.3141,11.308,,,0.177,0.283,0.284,382329978880.0,387527507968.0,163.586,0.44,0.365,0.574,Consumer Cyclical,Auto Parts,2026-07-30,2026-08-01
NYKAA,476.2857,119.65089,67.31274,129.955,9.526909,0.14338,0.06285,0.0199,0.05238,0.45057,82.405,1.156,0.221,0.284,2.902,2.863,954820132864.0,977666834432.0,4.953,,0.0,0.373,Consumer Cyclical,Internet Retail,2026-08-04,2026-08-01
FEDERALBNK,19.449863,13.295666,2.2090554,,5.807763,,,0.30721,0.42963,0.0,,,,0.214,0.327,0.368,885327331328.0,959208292352.0,162.445,0.33,0.0642,0.282,Financial Services,Banks - Regional,2026-07-17,2026-08-01
FACT,,,38.897514,126.883,22.931936,,,0.07694,0.02437,0.47467998,295.147,,,0.409,-0.954,-0.955,534902079488.0,558047952896.0,21.252,0.05,0.8864,,Basic Materials,Agricultural Inputs,,2026-08-01
FINCABLES,21.14775,14.6094675,2.4826107,21.079,2.3895376,0.12326,0.052729998,0.11291,0.08394,0.18526,0.314,8.417,5.814,0.224,0.171,0.171,151042899968.0,130586058752.0,397.807,0.82,0.1714,0.521,Industrials,Electrical Equipment & Parts,2026-05-28,2026-08-01
FSL,31.635601,19.188776,4.756971,18.402,2.1830883,0.159,0.08135,0.07057,0.12167,0.40151,67.135,0.794,0.709,0.195,0.277,0.277,208624517120.0,234925883392.0,63.511,1.82,0.5753,0.231,Technology,Information Technology Services,,2026-08-01
FIVESTAR,14.64324,11.088864,2.1915722,,7.003739,,,0.47797,0.59126,0.99611,111.929,,,0.08,0.018,0.019,161748254720.0,222240833536.0,250.026,0.36,0.0535,0.63,Financial Services,Credit Services,,2026-08-01
FORCEMOT,18.832317,,5.723847,15.44,2.5639818,,,0.13607,0.10262,0.31094,,,,0.062,0.228,0.228,235881447424.0,227584638976.0,3127.617,0.22,0.0421,0.527,Consumer Cyclical,Auto Manufacturers,,2026-08-01
